"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.chooseyourboss.com/104.21.1.232","443","INFO","HTTP","",""
"pre_128cipher","www.chooseyourboss.com/104.21.1.232","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.chooseyourboss.com/104.21.1.232","443","OK","not offered","",""
"SSLv3","www.chooseyourboss.com/104.21.1.232","443","OK","not offered","",""
"TLS1","www.chooseyourboss.com/104.21.1.232","443","LOW","offered (deprecated)","",""
"TLS1_1","www.chooseyourboss.com/104.21.1.232","443","LOW","offered (deprecated)","",""
"TLS1_2","www.chooseyourboss.com/104.21.1.232","443","OK","offered","",""
"TLS1_3","www.chooseyourboss.com/104.21.1.232","443","OK","offered with final","",""
"ALPN_HTTP2","www.chooseyourboss.com/104.21.1.232","443","OK","h2","",""
"ALPN","www.chooseyourboss.com/104.21.1.232","443","INFO","http/1.1","",""
"cipherlist_NULL","www.chooseyourboss.com/104.21.1.232","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.chooseyourboss.com/104.21.1.232","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.chooseyourboss.com/104.21.1.232","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.chooseyourboss.com/104.21.1.232","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.chooseyourboss.com/104.21.1.232","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","www.chooseyourboss.com/104.21.1.232","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","www.chooseyourboss.com/104.21.1.232","443","INFO","not offered","",""
"cipherlist_STRONG","www.chooseyourboss.com/104.21.1.232","443","OK","offered","",""
"cipher_order","www.chooseyourboss.com/104.21.1.232","443","OK","server -- TLS 1.3 client determined","",""
"protocol_negotiated","www.chooseyourboss.com/104.21.1.232","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","www.chooseyourboss.com/104.21.1.232","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"cipherorder_TLSv1","www.chooseyourboss.com/104.21.1.232","443","INFO","ECDHE-ECDSA-AES128-SHA","",""
"cipherorder_TLSv1_1","www.chooseyourboss.com/104.21.1.232","443","INFO","ECDHE-ECDSA-AES128-SHA","",""
"cipherorder_TLSv1_2","www.chooseyourboss.com/104.21.1.232","443","INFO","ECDHE-ECDSA-CHACHA20-POLY1305-OLD","",""
"FS","www.chooseyourboss.com/104.21.1.232","443","OK","offered","",""
"FS_ciphers","www.chooseyourboss.com/104.21.1.232","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA256 ECDHE-ECDSA-AES128-SHA ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA384 ECDHE-ECDSA-AES256-SHA ECDHE-ECDSA-CHACHA20-POLY1305-OLD","",""
"FS_ECDHE_curves","www.chooseyourboss.com/104.21.1.232","443","OK","prime256v1","",""
