"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.keljob.com/52.84.169.29","443","INFO","HTTP","",""
"pre_128cipher","www.keljob.com/52.84.169.29","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.keljob.com/52.84.169.29","443","OK","not offered","",""
"SSLv3","www.keljob.com/52.84.169.29","443","OK","not offered","",""
"TLS1","www.keljob.com/52.84.169.29","443","INFO","not offered","",""
"TLS1_1","www.keljob.com/52.84.169.29","443","INFO","not offered","",""
"TLS1_2","www.keljob.com/52.84.169.29","443","OK","offered","",""
"TLS1_3","www.keljob.com/52.84.169.29","443","OK","offered with final","",""
"ALPN_HTTP2","www.keljob.com/52.84.169.29","443","OK","h2","",""
"ALPN","www.keljob.com/52.84.169.29","443","INFO","http/1.1","",""
"cipherlist_NULL","www.keljob.com/52.84.169.29","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.keljob.com/52.84.169.29","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.keljob.com/52.84.169.29","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.keljob.com/52.84.169.29","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.keljob.com/52.84.169.29","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","www.keljob.com/52.84.169.29","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","www.keljob.com/52.84.169.29","443","INFO","not offered","",""
"cipherlist_STRONG","www.keljob.com/52.84.169.29","443","OK","offered","",""
"cipher_order","www.keljob.com/52.84.169.29","443","OK","server","",""
"protocol_negotiated","www.keljob.com/52.84.169.29","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","www.keljob.com/52.84.169.29","443","OK","TLS_AES_128_GCM_SHA256, 253 bit ECDH (X25519)","",""
"cipherorder_TLSv1_2","www.keljob.com/52.84.169.29","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","www.keljob.com/52.84.169.29","443","OK","offered","",""
"FS_ciphers","www.keljob.com/52.84.169.29","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","www.keljob.com/52.84.169.29","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","www.keljob.com/52.84.169.29","443","INFO","'server name/#0' 'EC point formats/#11' 'renegotiation info/#65281' 'status request/#5' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","www.keljob.com/52.84.169.29","443","INFO","valid for 86400 seconds only (<daily)","",""
"SSL_sessionID_support","www.keljob.com/52.84.169.29","443","INFO","yes","",""
"sessionresumption_ticket","www.keljob.com/52.84.169.29","443","INFO","supported","",""
"sessionresumption_ID","www.keljob.com/52.84.169.29","443","INFO","not supported","",""
"TLS_timestamp","www.keljob.com/52.84.169.29","443","INFO","random","",""
"clientAuth","www.keljob.com/52.84.169.29","443","INFO","none","",""
"cert_numbers","www.keljob.com/52.84.169.29","443","INFO","1","",""
"cert_signatureAlgorithm","www.keljob.com/52.84.169.29","443","OK","SHA256 with RSA","",""
"cert_keySize","www.keljob.com/52.84.169.29","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.keljob.com/52.84.169.29","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.keljob.com/52.84.169.29","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.keljob.com/52.84.169.29","443","INFO","04AF6C27CB9F64EFFB3D00324A0357AF","",""
"cert_fingerprintSHA1","www.keljob.com/52.84.169.29","443","INFO","19285F94E983B6233DD6371BA6721DC8CC5A7651","",""
"cert_fingerprintSHA256","www.keljob.com/52.84.169.29","443","INFO","7264B7FDAECDAA25AA07AA86287E447703F769A9F045538CB4DE5FE0C96E53C2","",""
