"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","emploi.lefigaro.fr/99.86.37.124","443","INFO","HTTP","",""
"pre_128cipher","emploi.lefigaro.fr/99.86.37.124","443","INFO","No 128 cipher limit bug","",""
"SSLv2","emploi.lefigaro.fr/99.86.37.124","443","OK","not offered","",""
"SSLv3","emploi.lefigaro.fr/99.86.37.124","443","OK","not offered","",""
"TLS1","emploi.lefigaro.fr/99.86.37.124","443","INFO","not offered","",""
"TLS1_1","emploi.lefigaro.fr/99.86.37.124","443","INFO","not offered","",""
"TLS1_2","emploi.lefigaro.fr/99.86.37.124","443","OK","offered","",""
"TLS1_3","emploi.lefigaro.fr/99.86.37.124","443","OK","offered with final","",""
"ALPN_HTTP2","emploi.lefigaro.fr/99.86.37.124","443","OK","h2","",""
"ALPN","emploi.lefigaro.fr/99.86.37.124","443","INFO","http/1.1","",""
"cipherlist_NULL","emploi.lefigaro.fr/99.86.37.124","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","emploi.lefigaro.fr/99.86.37.124","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","emploi.lefigaro.fr/99.86.37.124","443","OK","not offered","","CWE-327"
"cipherlist_LOW","emploi.lefigaro.fr/99.86.37.124","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","emploi.lefigaro.fr/99.86.37.124","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","emploi.lefigaro.fr/99.86.37.124","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","emploi.lefigaro.fr/99.86.37.124","443","INFO","not offered","",""
"cipherlist_STRONG","emploi.lefigaro.fr/99.86.37.124","443","OK","offered","",""
"cipher_order","emploi.lefigaro.fr/99.86.37.124","443","OK","server","",""
"protocol_negotiated","emploi.lefigaro.fr/99.86.37.124","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","emploi.lefigaro.fr/99.86.37.124","443","OK","TLS_AES_128_GCM_SHA256, 253 bit ECDH (X25519)","",""
"cipherorder_TLSv1_2","emploi.lefigaro.fr/99.86.37.124","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","emploi.lefigaro.fr/99.86.37.124","443","OK","offered","",""
